"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
1," zc03_260a ",1,0,4.436667,2.796667,0.74553,0.986947,0.133444,1.723333,0.117417,0,0.21121,1.348509,184.205929,0.176373
1," zc03_260a ",2,0,17.13,13.733333,0.746857,0.898322,0.837111,2.676667,1.42661,0.519972,0.300372,1.814619,824.312569,0.167551
1," zc03_260a ",3,0,6.266667,5.123333,0.798276,0.893161,0.2955,2.353333,1.42661,0,0.132875,0.775626,307.156697,0.137628
1," zc03_260a ",4,0,9.716667,4.063333,0.569765,1.256438,0.309389,6.257245,1.42661,0,0.158428,1.007232,342.737135,0.041777
2," zc03_263a ",1,0,52.476667,15.12,0.286184,1.028964,1.337889,2.266667,2.453611,0.721444,0.205647,0.665576,1037.374298,0.050362
2," zc03_263a ",2,0,6.216667,8.143333,1.093613,0.765648,0.303333,2.073333,2.1125,0,0.156519,0.43219,415.796331,0.044174
2," zc03_263a ",3,0,3.623333,6.486667,1.124488,0.549786,0.242222,2.25,1.835722,0,0.107162,0.387145,239.877339,0.077416
2," zc03_263a ",4,0,4.756667,8.066667,1.287989,0.720176,0.294944,1.983333,1.503278,0,0.135403,0.389332,387.385427,0.063503
2," zc03_263a ",5,0,4.906667,5.71,0.840314,0.655373,0.285056,1.793333,1.185167,0,0.090317,0.332369,249.561563,0.067509
2," zc03_263a ",6,0,5.306667,6.916667,0.719513,0.503804,0.274167,1.673333,0.881111,0,0.046373,0.317216,232.398653,0.060466
2," zc03_263a ",7,0,4.21,7.02,0.845301,0.459423,0.273167,1.656667,0.580056,0,0.042345,0.34449,215.07842,0.076124
2," zc03_263a ",8,0,4.896667,5.183333,0.667612,0.567318,0.262167,12.05,0.290278,0,0.039824,0.328912,196.155114,0.051687
2," zc03_263a ",9,0,21.693333,36.576667,0.841786,0.48703,1.083611,2.36,0.991333,0.743111,0.206975,0.618383,1187.693527,0.066958
2," zc03_263a ",10,0,4.4,6.523333,0.826827,0.499394,0.227278,38.42,0.724722,0,0.074183,0.357629,217.254773,0.073648
2," zc03_263a ",11,0,18.723333,17.5,0.953326,1.061722,0.871111,15.883333,0.358056,0.596111,0.258622,0.74987,1238.834215,0.117057
2," zc03_263a ",12,3,16.053333,20.81,1.151773,0.852455,0.700667,9.813333,0.248361,0.282667,0.234409,0.668382,1182.682297,0.108819
2," zc03_263a ",13,0,13.693333,19.62,1.324486,0.911401,0.782333,55.286667,1.006417,0.393056,0.23615,0.670296,1192.655328,0.056659
2," zc03_263a ",14,0,17.583333,19.53,0.876322,0.772065,0.7785,48.016667,0.885667,0.492917,0.256656,0.779782,1005.267348,0.079081
2," zc03_263a ",15,0,17.65,16.02,0.874254,0.982154,0.793889,2.493333,1.802833,0.491389,0.274529,0.77102,1049.002404,0.072229
2," zc03_263a ",16,0,4.27,6.626667,0.86168,0.508189,0.235611,86.993333,1.525667,0,0.077992,0.307922,224.585531,0.035221
2," zc03_263a ",17,0,21.79,23.926667,0.851367,0.793246,1.028944,2.033333,1.42661,0.546056,0.22492,0.722428,1265.471321,0.100711
2," zc03_263a ",18,0,3.08,9.37,0.980472,0.334333,0.2555,1.743333,1.42661,0,0.161218,0.445619,208.739817,0.082799
2," zc03_263a ",19,0,4.863333,5.73,0.503172,0.424974,0.203556,6.257245,1.42661,0,0.129153,0.400765,162.33653,0.090853
3," zc04_160a ",1,0,7.466667,16.413333,1.570696,0.688126,1.413444,2.42,1.316861,1.033639,0.203906,0.853198,754.730224,0.05503
3," zc04_160a ",2,0,7.726667,8.123333,0.808489,0.727352,0.353333,2.26,0.923194,0,0.12836,0.446142,394.143082,0.035614
3," zc04_160a ",3,0,7.92,4.75,0.561859,0.876887,0.330222,1.773333,0.555306,0,0.086614,0.329688,279.475649,0.034835
3," zc04_160a ",4,0,8.533333,4.876667,0.504571,0.814833,0.312333,6.753333,0.213417,0,0.101787,0.342431,266.635191,0.023255
3," zc04_160a ",5,0,19.46,31.523333,1.447238,0.896398,1.402,2.25,1.42661,0.744222,0.200573,0.757203,1884.029445,0.070657
3," zc04_160a ",6,0,7.006667,6.67,0.974034,0.93623,0.3675,2.436667,1.42661,0,0.170553,0.530559,418.528151,0.033564
3," zc04_160a ",7,0,10.403333,4.966667,0.557299,1.112902,0.346944,1.87,1.42661,0,0.117415,0.41868,370.493894,0.033118
3," zc04_160a ",8,0,8.79,5.906667,0.535794,0.758571,0.323944,6.257245,1.42661,0,0.107727,0.396117,300.678332,0.013771
4," zc04_161a ",1,0,6.663333,6.506667,0.575698,0.508776,0.307722,2.166667,0.587056,0,0.1021,0.463357,220.539463,0.021453
