field,required,params
depid,1,
device.serial,1,
device.make,1,
device.type,1,
device.model,1,
device.url,0,
sensors.firm,1,Not specified
sensors.soft,1,Not specified
sensors.list,0,
animal.id,0,Unknown
animal.species.common,1,
animal.species.science,1,
animal.dbase.url,1,
dephist.device.tzone,1,UTC
dephist.device.regset,1,yyyy/mm/dd HH:MM:SS
dephist.device.datetime.start,1,
dephist.deploy.locality,1,Southern California Offshore Range (SCORE) 
dephist.deploy.location.lat,1,
dephist.deploy.location.lon,1,
dephist.deploy.datetime.start,1,
dephist.deploy.method,1,
project.name,1,Freakin Beakin
project.datetime.start,1,
project.datetime.end,1,
provider.name,1,
provider.details,1,
provider.email,1,
provider.license,1,Contact data provider
provider.cite,1,Contact data provider
provider.doi,1,Contact data provider
