name,type,abbrev,description,axes,def_units,def_unit_name,def_label,def_frame,def_axes,def_cols
Pressure,press,P,dive depth,1,m H2O,meters H2O (salt),meters,,D,
Depth,press,P,dive depth,1,m H2O,meters H2O (salt),meters,,D,
Altitude,press,P,altitude above sea-level,1,m,meters above sea-level,meters,,U,
Acceleration,acc,A,triaxial acceleration,3,m/s2,meters per seconds squared,m/s^2,tag,FRU,"x,y,z"
Magnetometer,mag,M,triaxial magnetometer,3,uT,micro Tesla,\muT,tag,FRU,"x,y,z"
Gyroscope,gyr,G,triaxial gyroscope,3,rads/s,radians per second,rads/s,tag,FRU,"x,y,z"
Speed,spd,S,speed with respect to medium,1,m/s,meters per second,m/s,,F,
Position,pos,POS,GPS position,2,degrees,decimal degrees,degrees,WGS84,NE,"lat,long"
Temperature,temp,T,temperature,1,degrees C,degrees Celsius,degrees,,,
Light,light,LL,light level,1,lux,lux,lux,,,
