Initial,Common_name,Binomial,URL,ITIS
zc,Cuvier's beaked whale,Ziphius cavirostris,http://www.arkive.org/cuviers-beaked-whale/ziphius-cavirostris/,180498
pm,Sperm whale,Physeter macrocephalus,http://www.arkive.org/sperm-whale/physeter-macrocephalus/,180488
sw,Sperm whale,Physeter macrocephalus,http://www.arkive.org/sperm-whale/physeter-macrocephalus/,180488
md,Blainville's beaked whale,Mesoplodon densirostris,http://www.arkive.org/blainvilles-beaked-whale/mesoplodon-densirostris/,180517
gm,Short-finned pilot whale,Globicephala macrorhynchus,http://www.arkive.org/short-finned-pilot-whale/globicephala-macrorhynchus/,180466
gm,Long-finned pilot whale,Globicephala melas,http://www.arkive.org/long-finned-pilot-whale/globicephala-melas/,552461
pw,Long-finned pilot whale,Globicephala melas,http://www.arkive.org/long-finned-pilot-whale/globicephala-melas/,552461
pw,Short-finned pilot whale,Globicephala macrorhynchus,http://www.arkive.org/short-finned-pilot-whale/globicephala-macrorhynchus/,180466
ml,Southern elephant seal,Mirounga leonina,http://www.arkive.org/southern-elephant-seal/mirounga-leonina/,180671
pv,Harbour or common seal,Phoca vitulina,http://www.arkive.org/common-seal/phoca-vitulina/,180649
hs,Harbour or common seal,Phoca vitulina,http://www.arkive.org/common-seal/phoca-vitulina/,180649
lw,Weddell seal,Leptonychotes weddellii,http://www.arkive.org/weddell-seal/leptonychotes-weddellii/,180669
pp,Harbour porpoise,Phocoena phocoena,http://www.arkive.org/harbour-porpoise/phocoena-phocoena/,180473
hp,Harbour porpoise,Phocoena phocoena,http://www.arkive.org/harbour-porpoise/phocoena-phocoena/,180473
dl,Beluga,Delphinapterus leucas,http://www.arkive.org/beluga-whale/delphinapterus-leucas/,180483
pa,Adelie penguin,Pygoscelis adeliae,http://www.arkive.org/adelie-penguin/pygoscelis-adeliae/,174445
bm,Bowhead whale,Balaena mysticetus,http://www.arkive.org/bowhead-whale/balaena-mysticetus/,180533
bm,Blue whale,Balaenoptera musculus,http://www.arkive.org/blue-whale/balaenoptera-musculus/,180528
bw,Blue whale,Balaenoptera musculus,http://www.arkive.org/blue-whale/balaenoptera-musculus/,180528
mn,Humpback whale,Megaptera novaeangliae,http://www.arkive.org/humpback-whale/megaptera-novaeangliae/,180530
eg,North atlantic right whale,Eubalaena glacialis,http://www.arkive.org/north-atlantic-right-whale/eubalaena-glacialis/,180537
rw,North atlantic right whale,Eubalaena glacialis,http://www.arkive.org/north-atlantic-right-whale/eubalaena-glacialis/,180537
mb,Sowerby's beaked whale,Mesoplodon bidens,http://www.arkive.org/sowerbys-beaked-whale/mesoplodon-bidens/,180515
bb,Bryde's whale,Balaenoptera edeni,https://www.arkive.org/brydes-whale/balaenoptera-edeni/,180525
sm,Greenland shark,Somniosus microcephalus ,https://www.arkive.org/greenland-shark/somniosus-microcephalus/,180611
gs,Greenland shark,Somniosus microcephalus ,https://www.arkive.org/greenland-shark/somniosus-microcephalus/,180611
ws,Whale shark,Rhincodon typus,https://www.arkive.org/whale-shark/rhincodon-typus/,159857
rt,Whale shark,Rhincodon typus,https://www.arkive.org/whale-shark/rhincodon-typus/,159857
tm,West Indian manatee,Trichechus manatus,https://www.arkive.org/west-indian-manatee/trichechus-manatus/,180684
hg,Grey seal,Halichoerus grypus,https://www.arkive.org/grey-seal-(eastern-atlantic-population)/halichoerus-grypus/,180653
gs,Grey seal,Halichoerus grypus,https://www.arkive.org/grey-seal-(eastern-atlantic-population)/halichoerus-grypus/,180653
ec,Macaroni penguin,Eudyptes chrysolophus,https://www.arkive.org/macaroni-penguin/eudyptes-chrysolophus/,174452
ag,Antarctic fur seal,Arctocephalus gazella,https://www.arkive.org/antarctic-fur-seal/arctocephalus-gazella/,180630
ea,Southern right whale,Eubalaena australis,https://www.arkive.org/southern-right-whale/eubalaena-australis/,552771
cc,Carrion crow,Corvus corone,https://en.wikipedia.org/wiki/Carrion_crow,559494
son,Sonar tag profile,,,
